homologene_fam_id	species_1	species_2	entrez_1	symbol_1	protein_gi_1	protein_acc_1	entrez_2	symbol_2	protein_gi_2	protein_acc_2
126	9606	10090	2592	GALT	22165416	NP_000146.2	14430	Galt	120952695	NP_057867.2
129	9606	10090	2632	GBE1	189458812	NP_000149.3	74185	Gbe1	17975508	NP_083079.1
130	9606	10090	2639	GCDH	4503943	NP_000150.1	270076	Gcdh	390190196	NP_032123.3
131	9606	10090	2642	GCGR	4503947	NP_000151.1	14527	Gcgr	160298176	NP_032127.2
132	9606	10090	2643	GCH1	4503949	NP_000152.1	14528	Gch1	6679967	NP_032128.1
134	9606	10090	2690	GHR	334883127	NP_001229328.1	14600	Ghr	556503394	NP_001273299.1
136	9606	10090	2697	GJA1	4504001	NP_000156.1	14609	Gja1	6753992	NP_034418.1
137	9606	10090	2705	GJB1	4504005	NP_000157.1	14618	Gjb1	22165406	NP_032150.2
139	9606	10090	2737	GLI3	119393899	NP_000159.3	14634	Gli3	120953173	NP_032156.2
141	9606	10090	2731	GLDC	108773801	NP_000161.2	104174	Gldc	20070408	NP_613061.1
142	9606	10090	8001	GLRA3	110347441	NP_006520.2	110304	Glra3	120300936	NP_536686.2
143	9606	10090	2811	GP1BA	291190772	NP_000164.5	14723	Gp1ba	158635962	NP_034456.2
144	9606	10090	2815	GP9	4504077	NP_000165.1	54368	Gp9	9055226	NP_061232.1
145	9606	10090	2821	GPI	18201905	NP_000166.2	14751	Gpi1	254553458	NP_032181.2
147	9606	10090	2934	GSN	4504165	NP_000168.1	227753	Gsn	28916693	NP_666232.2
148	9606	10090	2937	GSS	4504169	NP_000169.1	14854	Gss	6680117	NP_032206.1
149	9606	10090	2956	MSH6	4504191	NP_000170.1	17688	Msh6	6754744	NP_034960.1
152	9606	10090	3030	HADHA	20127408	NP_000173.2	97212	Hadha	33859811	NP_849209.1
153	9606	10090	3032	HADHB	4504327	NP_000174.1	231086	Hadhb	21704100	NP_663533.1
156	9606	10090	3081	HGD	115527117	NP_000178.2	15233	Hgd	240120123	NP_038575.2
158	9606	10090	3145	HMBS	20149500	NP_000181.2	15288	Hmbs	159110431	NP_038579.2
159	9606	10090	3155	HMGCL	62198232	NP_000182.2	15356	Hmgcl	171543858	NP_032280.2
160	9606	10090	6910	TBX5	18201892	NP_000183.2	21388	Tbx5	34098933	NP_035667.1
163	9606	10090	3257	HPS1	33286416	NP_000186.2	192236	Hps1	9506573	NP_062297.1
167	9606	10090	6448	SGSH	4506919	NP_000190.1	27029	Sgsh	31543697	NP_061292.2
168	9606	10090	3383	ICAM1	167466198	NP_000192.2	15894	Icam1	21389311	NP_034623.1
169	9606	10090	3423	IDS	4557659	NP_000193.1	15931	Ids	84781812	NP_034628.2
170	9606	10090	3425	IDUA	110611239	NP_000194.2	15932	Idua	170172526	NP_032351.2
171	9606	10090	3426	CFI	119392081	NP_000195.2	12630	Cfi	110347406	NP_031712.2
172	9606	10090	3561	IL2RG	4557882	NP_000197.1	16186	Il2rg	7305181	NP_038591.1
173	9606	10090	3630	INS	4557671	NP_000198.1	16334	Ins2	6680463	NP_032413.1
175	9606	10090	3651	PDX1	4557673	NP_000200.1	18609	Pdx1	6679269	NP_032840.1
179	9606	10090	3691	ITGB4	54607035	NP_000204.3	192897	Itgb4	110735426	NP_001005608.2
180	9606	10090	182	JAG1	4557679	NP_000205.1	16449	Jag1	7305197	NP_038850.1
181	9606	10090	3718	JAK3	47157315	NP_000206.2	16453	Jak3	46559418	NP_034719.2
183	9606	10090	3736	KCNA1	119395748	NP_000208.2	16485	Kcna1	119395752	NP_034725.3
185	9606	10090	102723475	LOC102723475	578836392	XP_006724009.1	16509	Kcne1	6680528	NP_032450.1
187	9606	10090	3815	KIT	4557695	NP_000213.1	16590	Kit	170650721	NP_001116205.1
188	9606	10090	3859	KRT12	4557699	NP_000214.1	268482	Krt12	118130981	NP_034791.2
191	9606	10090	3914	LAMB3	62868217	NP_001017402.1	16780	Lamb3	485050325	NP_001264857.1
193	9606	10090	3952	LEP	4557715	NP_000221.1	16846	Lep	6678678	NP_032519.1
194	9606	10090	6445	SGCG	4557847	NP_000222.1	24053	Sgcg	6755488	NP_036022.1
195	9606	10090	6443	SGCB	4506913	NP_000223.1	24051	Sgcb	6755482	NP_036020.1
197	9606	10090	3978	LIG1	4557719	NP_000225.1	16881	Lig1	133892807	NP_001076657.1
199	9606	10090	3990	LIPC	194097335	NP_000227.2	15450	Lipc	31982278	NP_032306.2
200	9606	10090	4023	LPL	4557727	NP_000228.1	16956	Lpl	126723006	NP_032535.2
201	9606	10090	3757	KCNH2	4557729	NP_000229.1	16511	Kcnh2	157042785	NP_038597.2
203	9606	10090	4128	MAOA	4557735	NP_000231.1	17161	Maoa	255759902	NP_776101.3
206	9606	10090	4233	MET	188595716	NP_001120972.1	17295	Met	146198696	NP_032617.2
207	9606	10090	4261	CIITA	556695495	NP_001273331.1	12265	Ciita	344217725	NP_001230689.1
208	9606	10090	4292	MLH1	4557757	NP_000240.1	17350	Mlh1	255958238	NP_081086.2
210	9606	10090	4436	MSH2	4557761	NP_000242.1	17685	Msh2	6678938	NP_032654.1
212	9606	10090	4547	MTTP	153285408	NP_000244.2	17777	Mttp	254540223	NP_032668.2
215	9606	10090	4607	MYBPC3	148596957	NP_000247.2	17868	Mybpc3	134031947	NP_032679.2
219	9606	10090	4647	MYO7A	189083798	NP_000251.3	17921	Myo7a	367460064	NP_001243010.1
220	9606	10090	4653	MYOC	4557779	NP_000252.1	17926	Myoc	190610029	NP_034995.3
221	9606	10090	4668	NAGA	4557781	NP_000253.1	17939	Naga	168693635	NP_032695.3
222	9606	10090	4669	NAGLU	66346698	NP_000254.2	27419	Naglu	254910995	NP_038820.2
223	9606	10090	5727	PTCH1	134254446	NP_000255.2	19206	Ptch1	6679519	NP_032983.1
225	9606	10090	4693	NDP	4557789	NP_000257.1	17986	Ndp	6754808	NP_035013.1
226	9606	10090	4763	NF1	109826564	NP_001035957.1	18015	Nf1	34878892	NP_035027.1
227	9606	10090	4860	PNP	157168362	NP_000261.2	667034	Pnp2	183074535	NP_001116843.1
228	9606	10090	4864	NPC1	255652944	NP_000262.2	18145	Npc1	89242146	NP_032746.2
229	9606	10090	4867	NPHP1	189491776	NP_001121650.1	53885	Nphp1	8393845	NP_058598.1
230	9606	10090	4935	GPR143	270265839	NP_000264.2	18241	Gpr143	125347372	NP_035081.3
231	9606	10090	4942	OAT	4557809	NP_000265.1	18242	Oat	8393866	NP_058674.1
233	9606	10090	4952	OCRL	13325072	NP_000267.2	320634	Ocrl	46195807	NP_796189.2
234	9606	10090	5053	PAH	4557819	NP_000268.1	18478	Pah	171543886	NP_032803.2
236	9606	10090	5095	PCCA	65506442	NP_000273.2	110821	Pcca	254540162	NP_659093.2
237	9606	10090	5158	PDE6B	105990537	NP_000274.2	18587	Pde6b	113930735	NP_032832.2
239	9606	10090	5184	PEPD	149589008	NP_000276.2	18624	Pepd	170650724	NP_032846.2
240	9606	10090	5193	PEX12	4505721	NP_000277.1	103737	Pex12	19527244	NP_598786.1
242	9606	10090	5191	PEX7	4505731	NP_000279.1	18634	Pex7	6679283	NP_032848.1
246	9606	10090	5256	PHKA2	4505781	NP_000283.1	110094	Phka2	295424154	NP_001171350.1
247	9606	10090	5257	PHKB	4505783	NP_000284.1	102093	Phkb	40789096	NP_955517.1
250	9606	10090	5310	PKD1	205360954	NP_001009944.2	18763	Pkd1	124487380	NP_038658.2
253	9606	10090	5317	PKP1	53729344	NP_001005337.1	18772	Pkp1	9790161	NP_062619.1
254	9606	10090	5320	PLA2G2A	4505849	NP_000291.1				
256	9606	10090	5351	PLOD1	32307144	NP_000293.2	18822	Plod1	6755106	NP_035252.1
257	9606	10090	5373	PMM2	4557839	NP_000294.1	54128	Pmm2	8393988	NP_058577.1
259	9606	10090	5449	POU1F1	170650730	NP_001116229.1	18736	Pou1f1	6679335	NP_032875.1
260	9606	10090	5456	POU3F4	433288480	NP_000298.3	18994	Pou3f4	6679427	NP_032927.1
262	9606	10090	5498	PPOX	4506001	NP_000300.1	19044	Ppox	6679445	NP_032937.1
264	9606	10090	5627	PROS1	192447438	NP_000304.2	19128	Pros1	46309455	NP_035303.1
265	9606	10090	5728	PTEN	73765544	NP_000305.3	19211	Pten	6679523	NP_032986.1
266	9606	10090	5741	PTH	4506267	NP_000306.1	19226	Pth	10181174	NP_065648.1
267	9606	10090	5745	PTH1R	296080761	NP_001171673.1	19228	Pth1r	145279235	NP_001077404.1
268	9606	10090	5805	PTS	4506331	NP_000308.1	19286	Pts	7110709	NP_035350.1
269	9606	10090	5828	PEX2	289063469	NP_001165558.1	19302	Pex2	254028176	NP_001156777.1
270	9606	10090	5830	PEX5	196259776	NP_001124498.1	19305	Pex5	472339081	NP_001264259.1
271	9606	10090	5860	QDPR	208973246	NP_000311.2	110391	Qdpr	21312520	NP_077198.1
272	9606	10090	5925	RB1	108773787	NP_000312.2	19645	Rb1	188528630	NP_033055.2
273	9606	10090	5961	PRPH2	118572596	NP_000313.2	19133	Prph2	7110699	NP_032964.1
276	9606	10090	6094	ROM1	4506575	NP_000318.1	19881	Rom1	256665253	NP_033099.3
279	9606	10090	6247	RS1	10835083	NP_000321.1	20147	Rs1	42476341	NP_035432.3
281	9606	10090	6310	ATXN1	189491748	NP_001121636.1	20238	Atxn1	334358891	NP_001186234.1
283	9606	10090	6329	SCN4A	93587342	NP_000325.4	110880	Scn4a	134948032	NP_573462.2
285	9606	10090	6444	SGCD	21314619	NP_000328.2	24052	Sgcd	6755484	NP_036021.1
286	9606	10090	6557	SLC12A1	134254459	NP_000329.2	20495	Slc12a1	119226231	NP_899197.2
287	9606	10090	6559	SLC12A3	186910315	NP_000330.2	20497	Slc12a3	247301365	NP_062288.2
292	9606	10090	6606	SMN1	13259512	NP_075012.1	20595	Smn1	6755580	NP_035550.1
293	9606	10090	6622	SNCA	225690604	NP_001139527.1	20617	Snca	109638747	NP_001035916.1
294	9606	10090	6662	SOX9	4557853	NP_000337.1	20682	Sox9	165932321	NP_035578.3
295	9606	10090	6710	SPTB	67782321	NP_001020029.1	20741	Sptb	84490394	NP_038703.3
297	9606	10090	6770	STAR	56243551	NP_000340.2	20845	Star	31543776	NP_035615.2
298	9606	10090	24	ABCA4	105990541	NP_000341.2	11304	Abca4	6671495	NP_031404.1
303	9606	10090	6948	TCN2	21071010	NP_000346.2	21452	Tcn2	194440742	NP_001123930.1
306	9606	10090	7051	TGM1	4507475	NP_000350.1	21816	Tgm1	239787892	NP_001155187.1
307	9606	10090	7054	TH	88900505	NP_954987.2	21823	Th	6678337	NP_033403.1
308	9606	10090	7056	THBD	4507483	NP_000352.1	21824	Thbd	6678339	NP_033404.1
309	9606	10090	7137	TNNI3	151101270	NP_000354.4	21954	Tnni3	6678393	NP_033432.1
313	9606	10090	7172	TPMT	4507653	NP_000358.1	22017	Tpmt	253795504	NP_058065.2
314	9606	10090	7248	TSC1	4507693	NP_000359.1	64930	Tsc1	79750409	NP_075025.2
315	9606	10090	7253	TSHR	64085121	NP_000360.2	22095	Tshr	62990176	NP_035778.3
317	9606	10090	7276	TTR	4507725	NP_000362.1	22139	Ttr	7305599	NP_038725.1
319	9606	10090	7372	UMPS	4507835	NP_000364.1	22247	Umps	33859498	NP_033497.1
320	9606	10090	7389	UROD	71051616	NP_000365.3	22275	Urod	110347606	NP_033504.2
324	9606	10090	7498	XDH	91823271	NP_000370.2	22436	Xdh	77682555	NP_035853.2
327	9606	10090	326	AIRE	4557291	NP_000374.1	11634	Aire	409168278	NP_001258478.1
328	9606	10090	338	APOB	105990532	NP_000375.2	238055	Apob	161702988	NP_033823.2
330	9606	10090	642	BLMH	4557367	NP_000377.1	104184	Blmh	30519997	NP_848760.1
331	9606	10090	788	SLC25A20	4557403	NP_000378.1	57279	Slc25a20	10048462	NP_065266.1
332	9606	10090	846	CASR	296010811	NP_001171536.1	12374	Casr	148762954	NP_038831.2
333	9606	10090	1026	CDKN1A	334085240	NP_001207706.1	12575	Cdkn1a	6671726	NP_031695.1
334	9606	10090	1121	CHM	9966761	NP_000381.1	12662	Chm	110681714	NP_061288.2
335	9606	10090	1200	TPP1	5729770	NP_000382.3	12751	Tpp1	6753448	NP_034036.1
339	9606	10090	1439	CSF2RB	4559408	NP_000386.1	12983	Csf2rb	165972513	NP_031806.3
344	9606	10090	2068	ERCC2	15834617	NP_000391.1	13871	Ercc2	31542614	NP_031975.2
345	9606	10090	2132	EXT2	296010875	NP_001171554.1	14043	Ext2	226442845	NP_034293.2
347	9606	10090	2582	GALE	56118217	NP_001008217.1	74246	Gale	30409988	NP_848476.1
349	9606	10090	2760	GM2A	39995109	NP_000396.2	14667	Gm2a	6806917	NP_034429.1
350	9606	10090	2798	GNRHR	4504059	NP_000397.1	14715	Gnrhr	6754032	NP_034453.1
352	9606	10090	2820	GPD2	285002231	NP_001076581.2	14571	Gpd2	224922806	NP_001139292.1
353	9606	10090	2978	GUCA1A	40254415	NP_000400.2	14913	Guca1a	40254633	NP_032215.2
358	9606	10090	3295	HSD17B4	4504505	NP_000405.1	15488	Hsd17b4	31982273	NP_032318.2
359	9606	10090	3459	IFNGR1	4557880	NP_000407.1	15979	Ifngr1	6754306	NP_034641.1
360	9606	10090	3559	IL2RA	4557667	NP_000408.1	16184	Il2ra	254540187	NP_032393.3
362	9606	10090	3792	KEL	4557691	NP_000411.1	23925	Kel	160333081	NP_115929.3
363	9606	10090	3872	KRT17	4557701	NP_000413.1	16667	Krt17	7106335	NP_034793.1
369	9606	10090	4053	LTBP2	4557733	NP_000419.1	16997	Ltbp2	158341636	NP_038617.3
371	9606	10090	5048	PAFAH1B1	4557741	NP_000421.1	18472	Pafah1b1	7305363	NP_038653.1
372	9606	10090	4598	MVK	167001643	NP_001107657.1	17855	Mvk	12963731	NP_076045.1
374	9606	10090	4688	NCF2	67189970	NP_000424.2	17970	Ncf2	6754798	NP_035007.1
375	9606	10090	4758	NEU1	4557791	NP_000425.1	18010	Neu1	254939721	NP_035023.3
376	9606	10090	4854	NOTCH3	134244285	NP_000426.2	18131	Notch3	6679096	NP_032742.1
377	9606	10090	5019	OXCT1	4557817	NP_000427.1	67041	Oxct1	18266680	NP_077150.1
379	9606	10090	5122	PCSK1	20336242	NP_000430.3	18548	Pcsk1	7305371	NP_038656.1
380	9606	10090	5145	PDE6A	170650674	NP_000431.2	225600	Pde6a	22122583	NP_666198.1
384	9606	10090	5339	PLEC	41322916	NP_958782.1	18810	Plec	254675117	NP_001157014.1
385	9606	10090	5445	PON2	66529294	NP_000296.2	330260	Pon2	34303979	NP_899131.1
386	9606	10090	5664	PSEN2	156105679	NP_000438.2	19165	Psen2	190684663	NP_001122077.1
387	9606	10090	5896	RAG1	4557841	NP_000439.1	19373	Rag1	133778933	NP_033045.2
388	9606	10090	5993	RFX5	4557843	NP_000440.1				
389	9606	10090	6401	SELE	187960042	NP_000441.2	20339	Sele	6755452	NP_035475.1
390	9606	10090	6555	SLC10A2	4506973	NP_000443.1	20494	Slc10a2	6755530	NP_035518.1
392	9606	10090	6647	SOD1	4507149	NP_000445.1	20655	Sod1	45597447	NP_035564.1
393	9606	10090	6794	STK11	4507271	NP_000446.1	20869	Stk11	7106425	NP_035622.1
394	9606	10090	6821	SUOX	74099702	NP_001027558.1	211389	Suox	74024924	NP_776094.2
395	9606	10090	3172	HNF4A	31077205	NP_000448.3	15378	Hnf4a	46575916	NP_032287.2
396	9606	10090	6928	HNF1B	4507397	NP_000449.1	21410	Hnf1b	111185900	NP_033356.2
397	9606	10090	7010	TEK	88758596	NP_000450.2	21687	Tek	111185951	NP_038718.2
398	9606	10090	7066	THPO	4507493	NP_000451.1	21832	Thpo	6678341	NP_033405.1
400	9606	10090	580	BARD1	157266328	NP_000456.2	12021	Bard1	6680768	NP_031551.1
402	9606	10090	7291	TWIST1	4507741	NP_000465.1	22160	Twist1	6755907	NP_035788.1
403	9606	10090	190	NR0B1	5016090	NP_000466.2	11614	Nr0b1	6671531	NP_031456.1
405	9606	10090	213	ALB	4502027	NP_000468.1	11657	Alb	163310765	NP_033784.2
408	9606	10090	272	AMPD3	4502079	NP_000471.1	11717	Ampd3	66792802	NP_033797.2
409	9606	10090	275	AMT	44662838	NP_000472.2	434437	Amt	62000670	NP_001013836.1
413	9606	10090	353	APRT	4502171	NP_000476.1	11821	Aprt	118601013	NP_033828.2
416	9606	10090	546	ATRX	530788276	NP_000480.3	22589	Atrx	154091016	NP_033556.2
417	9606	10090	551	AVP	13259533	NP_000481.2	11998	Avp	6753150	NP_033862.1
418	9606	10090	713	C1QB	87298828	NP_000482.3	12260	C1qb	6753220	NP_033907.1
420	9606	10090	1415	CRYBB2	4503063	NP_000487.1	12961	Crybb2	6681035	NP_031799.1
425	9606	10090	2161	F12	145275213	NP_000496.2	58992	F12	171906584	NP_067464.2
426	9606	10090	2147	F2	4503635	NP_000497.1	14061	F2	6753798	NP_034298.1
428	9606	10090	2243	FGA	4503689	NP_000499.1	14161	Fga	167555029	NP_001104518.1
429	9606	10090	2266	FGG	70906439	NP_068656.2	99571	Fgg	19527078	NP_598623.1
430	9606	10090	2488	FSHB	66528995	NP_001018090.1	14308	Fshb	6679865	NP_032071.1
431	9606	10090					56546	Sec1	409191586	NP_001258507.1
433	9606	10090	2668	GDNF	299473779	NP_001177397.1	14573	Gdnf	7110601	NP_034405.1
437	9606	10090	3074	HEXB	4504373	NP_000512.1	15212	Hexb	6754186	NP_034552.1
441	9606	10090	3767	KCNJ11	62388888	NP_000516.3	16514	Kcnj11	6754426	NP_034732.1
443	9606	10090	7436	VLDLR	65301167	NP_003374.3	22359	Vldlr	238637303	NP_038731.2
444	9606	10090	4158	MC2R	4505127	NP_000520.1	17200	Mc2r	411147427	NP_001258645.1
445	9606	10090	4359	MPZ	295391071	NP_000521.2	17528	Mpz	162139829	NP_032649.2
446	9606	10090	5009	OTC	38788445	NP_000522.3	18416	Otc	6679184	NP_032795.1
447	9606	10090	5096	PCCB	295821216	NP_001171485.1	66904	Pccb	13385310	NP_080111.1
448	9606	10090	5354	PLP1	41349499	NP_000524.3	18823	Plp1	23956058	NP_035253.1
449	9606	10090	5378	PMS1	4505911	NP_000525.1	227099	Pms1	23956336	NP_705784.1
452	9606	10090	5994	RFXAP	4506501	NP_000529.1	170767	Rfxap	18875392	NP_573494.1
455	9606	10090	6295	SAG	116008178	NP_000532.2	20215	Sag	6677845	NP_033144.1
456	9606	10090	6439	SFTPB	288856299	NP_000533.3	20388	Sftpb	530678024	NP_001269000.1
457	9606	10090	6609	SMPD1	56117840	NP_000534.3	20597	Smpd1	6755582	NP_035551.1
459	9606	10090	6927	HNF1A	256542297	NP_000536.5	21405	Hnf1a	166295202	NP_033353.2
460	9606	10090	7157	TP53	120407068	NP_000537.3	22059	Trp53	148747262	NP_035770.2
461	9606	10090	7173	TPO	28558982	NP_000538.3	22018	Tpo	6678417	NP_033443.1
462	9606	10090	7249	TSC2	116256352	NP_000539.2	22084	Tsc2	86439992	NP_001034452.1
463	9606	10090	7252	TSHB	115430099	NP_000540.2	22094	Tshb	260099654	NP_001159411.1
464	9606	10090	7306	TYRP1	4507757	NP_000541.1	22178	Tyrp1	13654241	NP_112479.1
465	9606	10090	7428	VHL	4507891	NP_000542.1	22346	Vhl	6678567	NP_033533.1
466	9606	10090	7450	VWF	89191868	NP_000543.2	22371	Vwf	115511022	NP_035838.3
467	9606	10090	1406	CRX	4557489	NP_000545.1	12951	Crx	164519071	NP_001106801.1
468	9606	10090	8200	GDF5	4503969	NP_000548.1	14563	Gdf5	224922797	NP_032135.2
469	9606	10090	3040	HBA2	4504345	NP_000508.1	110257	Hba-a2	145301549	NP_001077424.1
472	9606	10090	731	C8A	4557389	NP_000553.1	230558	C8a	22122667	NP_666260.1
473	9606	10090	3568	IL5RA	28559027	NP_783853.1	16192	Il5ra	6680431	NP_032396.1
474	9606	10090	3570	IL6R	4504673	NP_000556.1	16194	Il6ra	110431356	NP_034689.2
475	9606	10090	2209	FCGR1A	10835133	NP_000557.1	14129	Fcgr1	6753832	NP_034316.1
477	9606	10090	2214	FCGR3A	50726979	NP_000560.5	246256	Fcgr4	224922770	NP_653142.2
478	9606	10090	3586	IL10	10835141	NP_000563.1	16153	Il10	6754318	NP_034678.1
479	9606	10090	1604	CD55	168693643	NP_001108224.1	13136	Cd55	114326522	NP_034146.2
480	9606	10090	3552	IL1A	27894330	NP_000566.3	16175	Il1a	47059075	NP_034684.2
481	9606	10090	3553	IL1B	10835145	NP_000567.1	16176	Il1b	6680415	NP_032387.1
486	9606	10090	2638	GC	324021745	NP_001191236.1	14473	Gc	51172612	NP_032122.1
487	9606	10090	3600	IL15	10835153	NP_000576.1	16168	Il15	6680407	NP_032383.1
488	9606	10090	3558	IL2	28178861	NP_000577.2	16183	Il2	7110653	NP_032392.1
489	9606	10090	730	C7	45580688	NP_000578.2	109828	C7	345110552	NP_001230766.1
491	9606	10090	3565	IL4	4504669	NP_000580.1	16189	Il4	10946584	NP_067258.1
492	9606	10090	3578	IL9	10834980	NP_000581.1	16198	Il9	6680437	NP_032399.1
